nome_disciplina,mediana,value
CALCULO DIFERENCIAL E INTEGRAL I,Feminino,5.1
CALCULO DIFERENCIAL E INTEGRAL II,Feminino,5.5
ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA,Feminino,6.2
ALGEBRA LINEAR I,Feminino,5.8
MATEMÁTICA DISCRETA,Feminino,5.6
PROBABILIDADE E ESTATÍSTICA,Feminino,6
FUND DE MATEMATICA P/ C.DA COMPUTACAO II,Feminino,6.5
LABORATORIO DE ESTRUTURA DE DADOS,Feminino,5.6
ESTRUTURA DE DADOS E ALGORITMOS,Feminino,5.7
FUNDAMENTOS DE FÍSICA CLÁSSICA,Feminino,7
LAB.DE ESTRUTURA DE DADOS E ALGORITMOS,Feminino,7
ESTRUTURA DE DADOS,Feminino,7
LABORATÓRIO DE PROGRAMAÇÃO I,Feminino,6.8
PROGRAMAÇÃO I,Feminino,6.4
LABORATÓRIO DE PROGRAMAÇÃO II,Feminino,7.4
TEORIA DA COMPUTAÇÃO,Feminino,6.4
PROGRAMAÇÃO II,Feminino,7
INTRODUÇÃO À PROBABILIDADE,Feminino,5.8
PROJETO DE SOFTWARE,Feminino,7
FUND DE MATEMATICA P/ C.DA COMPUTACAO I,Feminino,7.3
CALCULO DIFERENCIAL E INTEGRAL I,Masculino,5
CALCULO DIFERENCIAL E INTEGRAL II,Masculino,5.2
ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA,Masculino,5.8
ALGEBRA LINEAR I,Masculino,5.6
MATEMÁTICA DISCRETA,Masculino,5.8
PROBABILIDADE E ESTATÍSTICA,Masculino,5.4
FUND DE MATEMATICA P/ C.DA COMPUTACAO II,Masculino,7
LABORATORIO DE ESTRUTURA DE DADOS,Masculino,7
ESTRUTURA DE DADOS E ALGORITMOS,Masculino,6
FUNDAMENTOS DE FÍSICA CLÁSSICA,Masculino,6.3
LAB.DE ESTRUTURA DE DADOS E ALGORITMOS,Masculino,7
ESTRUTURA DE DADOS,Masculino,7
LABORATÓRIO DE PROGRAMAÇÃO I,Masculino,7.2
PROGRAMAÇÃO I,Masculino,7
LABORATÓRIO DE PROGRAMAÇÃO II,Masculino,7.6
TEORIA DA COMPUTAÇÃO,Masculino,6.4
PROGRAMAÇÃO II,Masculino,7.2
INTRODUÇÃO À PROBABILIDADE,Masculino,6.8
PROJETO DE SOFTWARE,Masculino,7.8
FUND DE MATEMATICA P/ C.DA COMPUTACAO I,Masculino,7.2
