,periodo_ingresso,classe,media
0,2000.1,geral,627.49
1,2000.2,geral,573.5
2,2001.1,geral,639.94
3,2001.2,geral,599.58
4,2002.1,geral,640.42
5,2002.2,geral,594.53
6,2003.1,geral,649.92
7,2003.2,geral,600.4
8,2004.1,geral,637.27
9,2004.2,geral,592.93
10,2005.1,geral,653.63
11,2005.2,geral,598.74
12,2006.1,geral,635.54
13,2006.2,geral,585.79
14,2007.1,geral,632.16
15,2007.2,geral,585.7
16,2008.1,geral,645.2
17,2008.2,geral,597.58
18,2009.1,geral,621.57
19,2009.2,geral,559.64
20,2010.1,geral,599.3
21,2010.2,geral,543.58
22,2011.1,geral,679.31
23,2011.2,geral,638.69
24,2012.1,geral,647.03
25,2012.2,geral,603.68
26,2013.1,geral,658.41
27,2013.2,geral,617.29
28,2014.1,geral,662.7
29,2014.2,geral,612.36
30,2015.1,geral,665.43
31,2015.2,geral,629.62
32,2016.1,geral,671.94
33,2016.2,geral,624.43
34,2017.1,geral,682.75
35,2017.2,geral,638.41
36,2018.1,geral,669.95
37,2018.2,geral,642.67
38,2019.1,geral,709.78
39,2019.2,geral,666.89
40,2020.1,geral,686.96
41,2000.1,mulheres,623.4
42,2000.2,mulheres,569.43
43,2001.1,mulheres,646.86
44,2001.2,mulheres,599.5
45,2002.1,mulheres,628.48
46,2002.2,mulheres,592.69
47,2003.1,mulheres,661.98
48,2003.2,mulheres,600.4
49,2004.1,mulheres,643.0
50,2004.2,mulheres,594.83
51,2005.1,mulheres,643.26
52,2005.2,mulheres,601.5
53,2006.1,mulheres,620.86
54,2006.2,mulheres,587.5
55,2007.1,mulheres,621.9
56,2007.2,mulheres,579.1
57,2008.1,mulheres,643.1
58,2008.2,mulheres,595.35
59,2009.1,mulheres,630.43
60,2009.2,mulheres,564.13
61,2010.1,mulheres,593.43
62,2010.2,mulheres,541.64
63,2011.1,mulheres,679.32
64,2011.2,mulheres,638.75
65,2012.1,mulheres,671.65
66,2012.2,mulheres,614.32
67,2013.1,mulheres,668.16
68,2013.2,mulheres,624.23
69,2014.1,mulheres,665.16
70,2014.2,mulheres,629.44
71,2015.1,mulheres,662.5
72,2015.2,mulheres,622.08
73,2016.1,mulheres,673.96
74,2016.2,mulheres,626.31
75,2017.1,mulheres,670.63
76,2017.2,mulheres,635.21
77,2018.1,mulheres,662.74
78,2018.2,mulheres,634.55
79,2019.1,mulheres,706.31
80,2019.2,mulheres,660.99
81,2020.1,mulheres,669.6
