nome_disciplina,desempenho,value,perc,sexo
CALCULO DIFERENCIAL E INTEGRAL I,sucesso,0.4035,40.35,Masculino
CALCULO DIFERENCIAL E INTEGRAL II,sucesso,0.4681,46.81,Masculino
ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA,sucesso,0.472,47.199999999999996,Masculino
ALGEBRA LINEAR I,sucesso,0.5511,55.11000000000001,Masculino
MATEMÁTICA DISCRETA,sucesso,0.5091,50.91,Masculino
PROBABILIDADE E ESTATÍSTICA,sucesso,0.558,55.800000000000004,Masculino
FUND DE MATEMATICA P/ C.DA COMPUTACAO II,sucesso,0.6336,63.36000000000001,Masculino
LABORATORIO DE ESTRUTURA DE DADOS,sucesso,0.6738,67.38,Masculino
ESTRUTURA DE DADOS E ALGORITMOS,sucesso,0.6409,64.09,Masculino
FUNDAMENTOS DE FÍSICA CLÁSSICA,sucesso,0.6466,64.66,Masculino
LAB.DE ESTRUTURA DE DADOS E ALGORITMOS,sucesso,0.6663,66.63,Masculino
ESTRUTURA DE DADOS,sucesso,0.6783,67.83,Masculino
LABORATÓRIO DE PROGRAMAÇÃO I,sucesso,0.7063,70.63000000000001,Masculino
PROGRAMAÇÃO I,sucesso,0.7096,70.96000000000001,Masculino
LABORATÓRIO DE PROGRAMAÇÃO II,sucesso,0.7006,70.06,Masculino
TEORIA DA COMPUTAÇÃO,sucesso,0.7263,72.63,Masculino
PROGRAMAÇÃO II,sucesso,0.7187,71.87,Masculino
INTRODUÇÃO À PROBABILIDADE,sucesso,0.7441,74.41,Masculino
PROJETO DE SOFTWARE,sucesso,0.7617,76.17,Masculino
FUND DE MATEMATICA P/ C.DA COMPUTACAO I,sucesso,0.7517,75.17,Masculino
CALCULO DIFERENCIAL E INTEGRAL I,sucesso,0.3992,39.92,Feminino
CALCULO DIFERENCIAL E INTEGRAL II,sucesso,0.4437,44.37,Feminino
ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA,sucesso,0.489,48.9,Feminino
ALGEBRA LINEAR I,sucesso,0.527,52.7,Feminino
MATEMÁTICA DISCRETA,sucesso,0.5204,52.04,Feminino
PROBABILIDADE E ESTATÍSTICA,sucesso,0.5417,54.169999999999995,Feminino
FUND DE MATEMATICA P/ C.DA COMPUTACAO II,sucesso,0.7091,70.91,Feminino
LABORATORIO DE ESTRUTURA DE DADOS,sucesso,0.5775,57.75,Feminino
ESTRUTURA DE DADOS E ALGORITMOS,sucesso,0.622,62.2,Feminino
FUNDAMENTOS DE FÍSICA CLÁSSICA,sucesso,0.7297,72.97,Feminino
LAB.DE ESTRUTURA DE DADOS E ALGORITMOS,sucesso,0.6918,69.17999999999999,Feminino
ESTRUTURA DE DADOS,sucesso,0.6557,65.57,Feminino
LABORATÓRIO DE PROGRAMAÇÃO I,sucesso,0.5868,58.68,Feminino
PROGRAMAÇÃO I,sucesso,0.5881,58.809999999999995,Feminino
LABORATÓRIO DE PROGRAMAÇÃO II,sucesso,0.6887,68.87,Feminino
TEORIA DA COMPUTAÇÃO,sucesso,0.6697,66.97,Feminino
PROGRAMAÇÃO II,sucesso,0.7285,72.85000000000001,Feminino
INTRODUÇÃO À PROBABILIDADE,sucesso,0.62,62,Feminino
PROJETO DE SOFTWARE,sucesso,0.587,58.699999999999996,Feminino
FUND DE MATEMATICA P/ C.DA COMPUTACAO I,sucesso,0.631,63.1,Feminino
